#HDR:lifnr,matnr,maktx
"0000100804","0-80-1574-1000","Punta para rack  D-33   (43-1/1)"
"0000100804","0-80-1575-1000","Punta para rack  D-34   (44-1/1)"
"0000100804","0-80-1576-1000","Punta para rack  D-35   (45-1/1)"
"0000100804","0-80-1577-1000","Punta para rack  D-36   (49-1/1)"
"0000100804","0-80-1578-1000","Punta para rack  D-37   (50-1/1)"
"0000100804","0-80-1579-1000","Punta para rack  D-38   (51-1/1)"
"0000100804","0-80-1580-1000","Punta para rack  D-39   (52-1/1)"
"0000100804","0-80-1581-1000","Punta para rack  D-41   (56-1/2)"
"0000100804","0-80-1582-1000","Punta para rack  D-44   (59-1/1)"
"0000100804","0-80-1583-1000","Punta para rack  D-45   (61-1/1)"
"0000100804","0-80-1584-1000","Punta para rack  D-53   (70-2/2)"
"0000100804","0-80-1585-1000","Punta para rack  D-55   (78-1/1)"
"0000100804","0-80-1586-1000","Punta para rack  D-60   (86-1/1)"
"0000100804","0-80-1587-1000","Punta para rack  D-64   (91-1/1)"
"0000100804","0-80-1588-1000","Punta para rack  D-73   (108-1/1)"
"0000100804","0-80-1589-1000","Punta para rack  D-76   (117-1/1)"
"0000100804","0-80-1590-1000","Punta para rack  D-87   (168-1/1)"
"0000100804","0-80-1591-1000","Punta para rack  D-89   (170-1/1)"
"0000100804","0-80-1592-1000","Punta para rack  D-90   (172-1/1)"
"0000100804","0-80-1593-1000","Punta para rack  D-91   (175-1/1)"
"0000100804","0-80-1594-1000","Punta para rack  D-93   (171-1)"
"0000100804","0-80-1595-1000","Punta para rack  S-01   (1-2/2)"
"0000100804","0-80-1596-1000","Punta para rack  S-06   (9-2/3)"
"0000100804","0-80-1597-1000","Punta para rack  S-14   (21-2/2)"
"0000100804","0-80-1598-1000","Punta para rack  S-15   (23-2/2)"
"0000100804","0-80-1599-1000","Punta para rack  S-16   (24-2/2)"
"0000100804","0-80-1600-1000","Punta para rack  S-17   (33-2/2)"
"0000100804","0-80-1601-1000","Punta para rack  S-18   (34-2/2)"
"0000100804","0-80-1602-1000","Punta para rack  S-19   (35-1/2)"
"0000100804","0-80-1603-1000","Punta para rack  S-20   (35-2/2)"
"0000100804","0-80-1604-1000","Punta para rack  S-21   (56-2/2)"
"0000100804","0-80-1605-1000","Punta para rack  S-27   (70-1/2)"
"0000100804","0-80-1606-1000","Punta para rack  S-28   (83-2/2)"
"0000100804","0-80-1607-1000","Punta para rack  S-34   (63-1/2)"
"0000100804","0-80-1608-1000","Punta para rack  S-35   (63-2/2)"
"0000100804","0-80-1609-1000","Punta para rack  S-36   (64-1/2)"
"0000100804","0-80-1610-1000","Punta para rack  D-09   (10-1/2)"
"0000100804","0-80-1611-1000","Punta para rack  D-22   (28-1/1)"
"0000100804","0-80-1612-1000","Punta para rack  D-25   (32-1/1)"
"0000100804","0-80-1613-1000","Punta para rack  D-29   (38-1/1)"
"0000100804","0-80-1614-1000","Punta para rack  D-31   (41-1/1)"
"0000100804","0-80-1615-1000","Punta para rack  D-40   (53-1/1)"
"0000100804","0-80-1616-1000","Punta para rack  D-42   (57-1/2)"
"0000100804","0-80-1617-1000","Punta para rack  D-43   (58-1/2)"
"0000100804","0-80-1618-1000","Punta para rack  S-07   (9-3/3)"
"0000100804","0-80-1619-1000","Punta para rack  S-08   (10-2/2)"
"0000100804","0-80-1620-1000","Punta para rack  S-09   (12-2/2)"
"0000100804","0-80-1621-1000","Punta para rack  S-10   (13-2/2)"
"0000100804","0-80-1622-1000","Punta para rack  S-13   (15-3/3)"
"0000100804","0-80-1623-1000","Punta para rack  S-22   (57-2/2)"
"0000100804","0-80-1624-1000","Punta para rack  S-23   (58-2/2)"
"0000100804","0-80-1625-1000","Punta para rack  S-37   (120-2/2)"
"0000100839","0-08-0001-1000","ARENA SILICA"
"0000100969","0-08-0034-1000","ALUMINIO"
"0000100969","0-08-6003-1000","PLOMO"
"0000100977","0-80-0018-1000","GRAFITO"
"0000101029","0-80-1548-1000","MOLDOL 5C1"
"0000101056","0-80-1265-1000","BISMUTO"
"0000101502","0-80-0101-5000","SAL ACIDA"
"0000200083","0-80-0358-4000","Banda de lija P100 de 12""x138"""
"0000200083","0-80-0359-4000","Banda de lija P320 de 12""x138"""
"0000200083","0-80-0362-4000","Banda de lija P400 de 12""x138"""
"0000200083","0-80-0369-4000","Banda de lija P240 de 12""x138"""
"0000200083","0-80-0372-4000","BANDA-LIJA 12""X138"" KK511X P320 (VSM)"
"0000200083","0-80-0376-4000","Banda de lija P80 de 12""x138"""
"0000200083","0-80-0377-4000","BANDA-LIJA 12""X138"" KK711X P400 (VSM)"
"0000200083","0-80-0495-4000","BANDA-LIJA 12""X138"" KK511X P100 (VSM)"
"0000200083","0-80-0496-4000","BANDA-LIJA 12""X138"" KK511X P80 (VSM)"
"0000200083","0-80-0499-4000","BANDA-LIJA 12""X138"" KK511X P240 (VSM)"
"0000200083","0-80-0523-4000","Banda-Lija 12""x138"" RB 346MJ P320 (H)"
"0000200083","0-80-0536-4000","Banda de lija P100 de 12""x118"""
"0000200083","0-80-0537-4000","Banda de lija P240 de 12""x118"""
"0000200083","0-80-0563-4000","Banda de lija P320 de 12""x118"""
"0000200083","0-80-0572-4000","BANDA-LIJA 12""X138"" KK511X P150 (VSM)"
"0000200083","0-80-0618-4000","Banda de lija P80 de 12""x118"""
"0000200083","0-80-0652-4000","Banda de lija P400 de 12”x118”"
"0000200083","0-80-1002-4000","RDA. MELLARE 300 X 10 X 110 MM G-320J"
"0000200083","0-80-1038-4000","RDA. FLAP SLOTTED 8X2X2 KK511JP80"
"0000200083","0-80-1039-4000","RDA. FLAP SLOTTED 8X2X2 KK511JP150"
"0000200083","0-80-1049-4000","RDA. LAMELLARI TELAXFRAST. 165X50X54 G18"
"0000200083","0-80-1057-4000","RUEDA STAGGER SLASH 203X51X35MM G 80F"
"0000200083","0-80-1068-4000","RUEDA FLAP SL 14X1-1/8X6-1/2 KK511J P220"
"0000200083","0-80-1144-4000","BANDA-LIJA 305X250 1 KK511J P100 EVO7"
"0000200083","0-80-1146-4000","Banda de lija P240 de 12""x98.5"""
"0000200083","0-80-1147-4000","Banda de lija P320 de 12""x98.5"""
"0000200083","0-80-1148-4000","Banda de lija P400 de 12""x98.5"""
"0000200083","0-80-1297-4000","MANTA CONV 22X1-3/4, 40, MSM, 4CC"
"0000200083","0-80-1300-4000","FIBRA FLAP T/AF 300X25X150MM"
"0000200083","0-80-1316-4000","30MM X 622MM  KK511J  GR.180"
"0000200083","0-80-1317-4000","30MM X 622MM  KK511J Gr. 240"
"0000200083","0-80-1318-4000","30MM X 622MM  KK511J Gr. 320"
"0000200083","0-80-1319-4000","30MM X 622MM  KK511J  Gr. 400"
"0000200083","0-80-1537-4000","Ruote Lam.Frast.KA537 P180 180x55 f.25"
"0000200083","0-80-1767-4000","Banda Lija 12”x118” R330 Grano P-100"
"0000200083","0-80-1768-4000","Banda Lija 12”x118” R330 Grano P-320"
"0000200084","0-80-0087-4000","PASTA SÓLIDA BLANCA P/PULIBRIGH 902-G"
"0000200084","0-80-0155-4000","PASTA SÓLIDA BLANCA ESTERINA"
"0000200084","0-80-0160-4000","MANTA CTRO.MET. 13.5""X5"" 16,1.5 TS (AMA)"
"0000200084","0-80-0177-4000","MANTA CONV 38X1-3/4 40,BHBY-M-16CC (AMA)"
"0000200084","0-80-0180-4000","MANTA CONV. 14""X1-3/4"" 40, BHVR-M-5CC"
"0000200084","0-80-0190-4000","PASTA SÓLIDA BLANCA 904-N B-M (BOTE)"
"0000200084","0-80-0355-4000","MANTA CTRO.MET. 16""X7"" 16,2 BHVR M (BCA)"
"0000200084","0-80-0358-4000","Banda de lija P100 de 12""x138"""
"0000200084","0-80-0359-4000","Banda de lija P320 de 12""x138"""
"0000200084","0-80-0376-4000","Banda de lija P80 de 12""x138"""
"0000200084","0-80-0491-4000","MANTA CTRO.MET. 16""X7"" 16,2 BHVP(MORADA)"
"0000200084","0-80-0563-4000","Banda de lija P320 de 12""x118"""
"0000200084","0-80-0618-4000","Banda de lija P80 de 12""x118"""
"0000200084","0-80-0854-5000","PASTA BT-50 CAFE"
"0000200084","0-80-0913-4000","PASTA LIQUIDA BLANCA PP502"
"0000200084","0-80-0922-4000","MANTA CARO. MET. 18"" X 7"" THVR (VDE)"
"0000200084","0-80-1102-4000","MANTA CTRO. MET. VENT. TRAT. 20X7 16C"
"0000200084","0-80-1109-4000","MANTA CTRO. MAT.VENT. 20X7 16C(BLANCA)"
"0000200084","0-80-1125-4000","PASTA L CAFÉ VP-2203"
"0000200084","0-80-1146-4000","Banda de lija P240 de 12""x98.5"""
"0000200084","0-80-1147-4000","Banda de lija P320 de 12""x98.5"""
"0000200084","0-80-1148-4000","Banda de lija P400 de 12""x98.5"""
"0000200084","0-80-1160-4000","PASTA CAFÉ PA-1512"
"0000200084","0-80-1292-4000","MANTA RCMV20x7 FN,16,2,THVR-M,GSD,6CC,B"
"0000200084","0-80-1293-4000","MANTA RCMV18X7, 16, 2, PGF7, 6CC, B"
"0000200084","0-80-1297-4000","MANTA CONV 22X1-3/4, 40, MSM, 4CC"
"0000200084","0-80-1321-4000","RCMV 24X9,16,0,HR,B"
"0000200084","0-80-1322-4000","RCMV20X9,24,2,THVR-M,6CC,B"
"0000200084","0-80-1373-4000","""RCMO ,24X9,4,0,HEN/MSM,CC1/4GSD,B"""
"0000200084","0-80-1384-4000","RCMV 24x9,16,0,THVR,M,GSD,B"
"0000200084","0-80-1404-4000","RCMV20X7 FN,10,2,PHVR,B,RSD"
"0000200084","0-80-1412-4000","RCMS 20X7X2,8,-1,HEN,CE1/4,BC,B"
"0000200084","0-80-1417-4000","RCMV 20X7,10,2,PHVR,B,6CC,RSD,AF"
"0000200084","0-80-1418-4000","RCMV 16X7,10,2,PHVR,B,RSD,AF"
"0000200084","0-80-1419-4000","RCMV 16X7,10,2,PHVR,B,4CC,RSD,AF"
"0000200084","0-80-1420-4000","RCMV 16X7,16,2,HR,B"
"0000200084","0-80-1430-4000","RCMV 16X7, 24, 2,HR,4CC,B"
"0000200084","0-80-1431-4000","SISAL TUBULAR 16X2,10H,CE1/4,RSD"
"0000200084","0-80-1441-4000","PASTA L GRIS OXIPLUS-15 TAM"
"0000200084","0-80-1525-4000","RF 5X2X1/2,P363,F3,18THVRM 2BARREN 5mm"
"0000200084","0-80-1526-4000","RFL 6X2X1/2,P363,F3,18THVR 2BARREN 5mm"
"0000200084","0-80-1527-4000","RF 6X2X1/2,P363,F3,18,THVR,GSD 2BARR 5mm"
"0000200084","0-80-1614-4000","PUNTA PARA RACK  D-31   (41-1/1)"
"0000200084","0-80-1750-4000","Manta CONV 6X3/8,40,HY,3CC,AF"
"0000200084","0-80-1756-4000","Compuesto Pasta  LM-TEA CUB 10 Kg"
"0000200084","0-80-1832-4000","MANTA RCMV 24X9,16,1,HALL,B,AF"
"0000200098","0-80-0192-4000","GUANTE DE CARNAZA"
"0000200098","0-80-0195-4000","GUANTE TIPO JAPONES"
"0000200098","0-80-0196-4000","GUANTE TIPO POLICIA"
"0000200101","0-80-0007-4000","ACIDO BÓRICO"
"0000200101","0-80-0198-4000","ACÍDO CRÓMICO HOJUELAS"
"0000200101","0-80-0201-4000","CARBON ACTIVADO"
"0000200101","0-80-0305-4000","BISULFITO DE SODIO"
"0000200101","0-80-0396-4000","ACIDO SULFURICO R. A."
"0000200101","0-80-0917-4000","HUMECTANTE Y-17"
"0000200101","0-80-0918-4000","SUPREME PLUS A-5"
"0000200101","0-80-0919-4000","SUPREME S.A.1"
"0000200101","0-80-1307-4000","U217561DY POWDERED SF-10 CELULOSA"
"0000200101","0-80-1308-4000","U217560DY  POWDERED SF-60 CELULOSA"
"0000200101","0-80-1443-4000","ACIDO ACÉTICO"
"0000200101","0-80-1446-4000","ACTIVATOR CA"
"0000200101","0-80-1447-4000","ADHEMAX NEUTRALIZER CR"
"0000200101","0-80-1448-4000","ADITIVO AGENT NP-A 91"
"0000200101","0-80-1457-4000","DC-15 (CP)"
"0000200101","0-80-1459-4000","FUMETROL 140"
"0000200101","0-80-1460-4000","FUMETROL 21 LF MAINTENANCE"
"0000200101","0-80-1461-4000","HIDROXIDO DE AMONIO"
"0000200101","0-80-1462-4000","MARK 1901"
"0000200101","0-80-1463-4000","MARK 1903 (CI)"
"0000200101","0-80-1464-4000","MARK 90 M 904 (CH)"
"0000200101","0-80-1465-4000","POLYCOTE"
"0000200101","0-80-1466-4000","PRYMER BLANCO"
"0000200101","0-80-1470-4000","SUPREME PLUS I"
"0000200101","0-80-1471-4000","SUPREME PLUS NIVELANTE"
"0000200101","0-80-1472-4000","UNICLEAN 251"
"0000200101","0-80-1473-4000","UNICLEAN 650"
"0000200101","0-80-1474-4000","UNICLEAN S-22"
"0000200101","0-80-1475-4000","UNICLEAN SOAK SBR"
"0000200101","0-80-1476-4000","UNISTRIP RACKSTRIP BR"
"0000200101","0-80-1477-4000","UNISTRIP RACKSTRIP CORRECTOR"
"0000200101","0-80-1497-4000","UNICLEAN 158"
"0000200101","0-80-1498-4000","DC-1"
"0000200101","0-80-1528-4000","MARK 1906"
"0000200101","0-80-1554-4000","ADITIVO UW-40"
"0000200101","0-80-1753-4000","CR Activator Additive"
"0000200101","0-80-1773-4000","MARK 1902"
"0000200101","0-80-1827-4000","SEMILUX 101 MAKE UP"
"0000200101","0-80-1828-4000","SEMILUX 102 BRIGHTENER"
"0000200101","0-80-1829-4000","SEMILUX SE1"
"0000200101","0-80-1830-4000","ALUMSEAL AD SEAL 18"
"0000200108","0-80-0003-4000","ACIDO CLORHIDRICO"
"0000200108","0-80-0199-4000","AGUA DESTILADA"
"0000200108","0-80-0396-4000","ACIDO SULFURICO R. A."
"0000200108","0-80-0722-4000","SAL QUIMICA"
"0000200108","0-80-1444-4000","ACIDO CLORHÍDRICO"
"0000200116","0-80-0003-4000","ACIDO CLORHIDRICO"
"0000200116","0-80-0121-4000","SULFATO DE NIQUEL LIQUIDO"
"0000200116","0-80-0128-4000","PERCLOROETILENO"
"0000200116","0-80-0199-4000","AGUA DESTILADA"
"0000200116","0-80-0201-4000","CARBON ACTIVADO"
"0000200116","0-80-0229-4000","PEROXIDO DE HIDROGENO AL 50%"
"0000200116","0-80-0230-4000","SOSA LIQUIDA AL 50%"
"0000200116","0-80-0233-4000","ACIDO SULFÚRICO"
"0000200116","0-80-0305-4000","BISULFITO DE SODIO"
"0000200116","0-80-0396-4000","ACIDO SULFURICO R. A."
"0000200116","0-80-0717-4000","CAL QUIMICA"
"0000200116","0-80-0722-4000","SAL QUIMICA"
"0000200116","0-80-1443-4000","ACIDO ACÉTICO"
"0000200116","0-80-1444-4000","ACIDO CLORHÍDRICO"
"0000200116","0-80-1453-4000","CAL QUÍMICA"
"0000200116","0-80-1461-4000","HIDROXIDO DE AMONIO"
"0000200116","0-80-1468-4000","SAL DE GRANO"
"0000200116","0-80-1499-4000","EURO Cr-20"
"0000200116","0-80-1518-4000","Aditivo PRE TREAT PLUS 0100"
"0000200116","0-80-1549-4000","Acido Nitrico al 60%"
"0000200116","0-80-1770-4000","CLORURO FÉRRICO"
"0000200122","0-80-1451-4000","ANTIESPUMANTE"
"0000200122","0-80-1458-4000","FOFLOC 25"
"0000200125","0-80-0007-4000","ACIDO BÓRICO"
"0000200125","0-80-0121-4000","SULFATO DE NIQUEL LIQUIDO"
"0000200125","0-80-0149-4000","NIQUEL S ROUND"
"0000200125","0-80-0203-4000","CLORURO DE NIQUEL LÍQUIDO C/200"
"0000200125","0-80-0305-4000","BISULFITO DE SODIO"
"0000200125","0-80-1442-4000","NIQUEL INCO P-PELLET"
"0000200125","0-80-1520-4000","SULFATO DE NIQUEL LIQUIDO   AC2"
"0000200125","0-80-1521-4000","CLORURO DE NIQUEL LIQUIDO “A”  AC2"
"0000200141","0-80-0087-4000","PASTA SÓLIDA BLANCA P/PULIBRIGH 902-G"
"0000200141","0-80-0177-4000","MANTA CONV 38X1-3/4 40,BHBY-M-16CC (AMA)"
"0000200141","0-80-0358-4000","Banda de lija P100 de 12""x138"""
"0000200141","0-80-0359-4000","Banda de lija P320 de 12""x138"""
"0000200141","0-80-0376-4000","Banda de lija P80 de 12""x138"""
"0000200141","0-80-0523-4000","Banda-Lija 12""x138"" RB 346MJ P320 (H)"
"0000200141","0-80-0913-4000","PASTA LIQUIDA BLANCA PP502"
"0000200141","0-80-1002-4000","RDA. MELLARE 300 X 10 X 110 MM G-320J"
"0000200141","0-80-1006-4000","RDA. VULKOLLAN VLS 400X35H100 SH 30/35"
"0000200141","0-80-1071-4000","RDA.LAMELLARIFRASTAGLIATE300X30X110-320J"
"0000200141","0-80-1074-4000","RDA. VULKOLLAN 300 X 60 X 35 MM"
"0000200141","0-80-1075-4000","RDA. VULKOLLAN 300 X 100 X 35 MM"
"0000200141","0-80-1102-4000","MANTA CTRO. MET. VENT. TRAT. 20X7 16C"
"0000200141","0-80-1109-4000","MANTA CTRO. MAT.VENT. 20X7 16C(BLANCA)"
"0000200141","0-80-1125-4000","PASTA L CAFÉ VP-2203"
"0000200141","0-80-1160-4000","PASTA CAFÉ PA-1512"
"0000200141","0-80-1292-4000","MANTA RCMV20x7 FN,16,2,THVR-M,GSD,6CC,B"
"0000200141","0-80-1300-4000","FIBRA FLAP T/AF 300X25X150MM"
"0000200141","0-80-1373-4000","""RCMO ,24X9,4,0,HEN/MSM,CC1/4GSD,B"""
"0000200141","0-80-1482-4000","LIJA KLINGSPORT GRANO 80 H 300X3500"
"0000200141","0-80-1483-4000","LIJA DEER GRANO 320 H 300X3500"
"0000200141","0-80-1484-4000","MANTA DE ALGODON BLANCA P/ PULIDO DIA960"
"0000200141","0-80-1485-4000","LIJA KLINGSPORT GRANO 100H300X3500"
